"Time Frame","Date","Ta (°C)","Tm (°C)","I3 (W/m2)","I15 (W/m2)","P (kW)","","",""
"21","3/12/12 9:04 PM","9.800000000000001","7.577","0","0","0","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","3/13/12 3:59 AM","8.868","7.6","0","0.009666666666666665","0.01945","","",""
"4","3/13/12 4:59 AM","8.640833333333333","7.132333333333334","40.08349999999999","68.50666666666667","30.40906666666666","","",""
"5","3/13/12 5:59 AM","8.160500000000001","5.856000000000001","213.056","264.0643333333333","177.4163333333333","","",""
"6","3/13/12 6:59 AM","8.580166666666667","6.438","456.4455000000002","533.1118333333332","401.2511666666666","","",""
"7","3/13/12 7:59 AM","10.18533333333333","11.157","624.8286666666667","727.9235","576.6671666666665","","",""
"8","3/13/12 8:59 AM","11.25","15.30216666666666","728.2875000000004","840.2405000000001","676.7137666666664","","",""
"9","3/13/12 9:59 AM","11.95666666666667","18.1105","839.4600000000002","942.0151666666666","749.7672166666667","","",""
"10","3/13/12 10:59 AM","12.18066666666667","19.54966666666666","830.6613333333333","919.9943333333338","732.80475","","",""
"11","3/13/12 11:59 AM","12.99233333333333","21.7675","750.8448333333332","825.2639999999999","671.1653499999999","","",""
"12","3/13/12 12:59 PM","13.12583333333333","21.90366666666667","622.2986666666668","672.1065","552.4016166666665","","",""
"13","3/13/12 1:59 PM","13.39783333333333","20.58233333333333","448.4810000000001","471.1131666666666","371.6317999999998","","",""
"14","3/13/12 2:59 PM","13.5","18.33316666666667","224.9496666666667","225.5021666666667","157.2503","","",""
"15","3/13/12 3:59 PM","13.19416666666667","16.1865","37.32283333333334","36.20433333333333","19.99544999999999","","",""
"16","3/13/12 4:59 PM","12.51016666666667","13.11283333333333","0","0","0.01006666666666667","","",""
"17","3/13/12 5:59 PM","11.289","9.209333333333332","0","0","0","","",""
"18","3/13/12 6:59 PM","9.9825","6.290333333333333","0","0","0","","",""
"19","3/13/12 7:59 PM","9.124166666666666","4.301833333333334","0","0","0","","",""
"20","3/13/12 8:59 PM","8.268333333333333","3.031","0","0","0","","",""
"21","3/13/12 9:49 PM","7.933000000000002","2.3816","0","0","0.0473","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","3/14/12 3:59 AM","5.423","0.007","40.4145","69.73449999999998","30.45046666666667","","",""
"4","3/14/12 4:59 AM","4.816833333333334","-0.6435000000000001","234.8125","308.0196666666667","211.1936666666666","","",""
"5","3/14/12 5:59 AM","4.829333333333333","-0.642","454.8185000000001","538.2708333333335","406.4833166666667","","",""
"6","3/14/12 6:59 AM","5.338333333333334","-0.1841666666666667","634.1836666666666","741.102","576.3354666666665","","",""
"7","3/14/12 7:59 AM","9.160833333333334","8.067833333333333","733.2958333333332","812.9924999999995","662.7987500000003","","",""
